instance,method,rep,bestFitness,avgFitness,worstFitness,evaluations,timeMs,populationSize,generations,mutationProb,crossoverProb,tournamentSize,tabuSize
tai100_10_0,RandomSearch,4,336323,0.00,381884,10000,549.536,100,100,0.010,0.700,5,7
tai100_10_0,RandomSearch,5,335825,0.00,384408,10000,538.652,100,100,0.010,0.700,5,7
tai100_10_0,RandomSearch,6,335025,0.00,380787,10000,540.271,100,100,0.010,0.700,5,7
tai100_10_0,RandomSearch,7,334488,0.00,380945,10000,565.167,100,100,0.010,0.700,5,7
tai100_10_0,RandomSearch,8,337260,0.00,379078,10000,572.816,100,100,0.010,0.700,5,7
tai100_10_0,RandomSearch,9,336181,0.00,383056,10000,544.286,100,100,0.010,0.700,5,7
tai100_10_0,GA,0,312791,314817.96,323715,10000,563.713,100,100,0.010,0.700,5,7
tai100_10_0,GA,1,316293,316773.75,320703,10000,555.829,100,100,0.010,0.700,5,7
tai100_10_0,GA,2,313528,314923.23,325213,10000,568.135,100,100,0.010,0.700,5,7
tai100_10_0,GA,3,311515,312814.57,324249,10000,557.658,100,100,0.010,0.700,5,7
tai100_10_0,GA,4,316324,318467.82,325253,10000,547.739,100,100,0.010,0.700,5,7
tai100_10_0,GA,5,314821,317221.16,325362,10000,546.766,100,100,0.010,0.700,5,7
tai100_10_0,GA,6,313865,315008.86,320330,10000,536.705,100,100,0.010,0.700,5,7
tai100_10_0,GA,7,309423,310333.61,326306,10000,543.158,100,100,0.010,0.700,5,7
tai100_10_0,GA,8,310245,310864.82,319096,10000,538.557,100,100,0.010,0.700,5,7
tai100_10_0,GA,9,312392,314039.90,324904,10000,546.926,100,100,0.010,0.700,5,7
tai100_10_0,TS,0,342173,342173.00,342173,9900,677.551,100,100,0.010,0.700,5,7
tai100_10_0,TS,1,348665,348665.00,348665,9900,676.110,100,100,0.010,0.700,5,7
tai100_10_0,TS,2,342958,342958.00,342958,9900,728.751,100,100,0.010,0.700,5,7
tai100_10_0,TS,3,350801,350801.00,350801,9900,654.035,100,100,0.010,0.700,5,7
tai100_10_0,TS,4,338682,338682.00,338682,9900,660.551,100,100,0.010,0.700,5,7
tai100_10_0,TS,5,352660,352660.00,352660,9900,694.724,100,100,0.010,0.700,5,7
tai100_10_0,TS,6,351387,351387.00,351387,9900,659.799,100,100,0.010,0.700,5,7
tai100_10_0,TS,7,339299,339299.00,339299,9900,662.259,100,100,0.010,0.700,5,7
tai100_10_0,TS,8,339949,339949.00,339949,9900,658.972,100,100,0.010,0.700,5,7
tai100_10_0,TS,9,344005,344005.00,344005,9900,668.142,100,100,0.010,0.700,5,7
tai100_20_0,Greedy,0,433184,433184.00,433184,100,178.511,100,100,0.010,0.700,5,7
tai100_20_0,RandomSearch,0,416137,0.00,461317,10000,1048.438,100,100,0.010,0.700,5,7
tai100_20_0,RandomSearch,1,415926,0.00,457384,10000,1042.510,100,100,0.010,0.700,5,7
tai100_20_0,RandomSearch,2,416582,0.00,457227,10000,1040.373,100,100,0.010,0.700,5,7
tai100_20_0,RandomSearch,3,413269,0.00,454945,10000,1042.341,100,100,0.010,0.700,5,7
tai100_20_0,RandomSearch,4,415899,0.00,459806,10000,1046.224,100,100,0.010,0.700,5,7
tai100_20_0,RandomSearch,5,417384,0.00,458250,10000,1045.993,100,100,0.010,0.700,5,7
tai100_20_0,RandomSearch,6,416890,0.00,457556,10000,1044.112,100,100,0.010,0.700,5,7
tai100_20_0,RandomSearch,7,416484,0.00,458959,10000,1040.683,100,100,0.010,0.700,5,7
tai100_20_0,RandomSearch,8,413599,0.00,459575,10000,1041.857,100,100,0.010,0.700,5,7
tai100_20_0,RandomSearch,9,412102,0.00,463988,10000,1042.150,100,100,0.010,0.700,5,7
tai100_20_0,GA,0,394522,395670.56,400486,10000,1060.651,100,100,0.010,0.700,5,7
tai100_20_0,GA,1,393146,393975.91,410508,10000,1054.169,100,100,0.010,0.700,5,7
tai100_20_0,GA,2,390256,391190.41,399311,10000,1037.812,100,100,0.010,0.700,5,7
tai100_20_0,GA,3,395008,397262.77,405116,10000,1049.082,100,100,0.010,0.700,5,7
tai100_20_0,GA,4,395901,396241.56,399888,10000,1049.708,100,100,0.010,0.700,5,7
tai100_20_0,GA,5,396324,397005.14,404748,10000,1051.486,100,100,0.010,0.700,5,7
tai100_20_0,GA,6,397308,398640.72,403903,10000,1045.330,100,100,0.010,0.700,5,7
