instance,method,rep,bestFitness,avgFitness,worstFitness,evaluations,timeMs,populationSize,generations,mutationProb,crossoverProb,tournamentSize,tabuSize
tai20_5_0,TS,2,15011,15011.00,15018,9880,35.472,100,100,0.010,0.700,5,7
tai20_5_0,TS,3,14749,14749.00,14755,9880,38.023,100,100,0.010,0.700,5,7
tai20_5_0,TS,4,14939,14939.00,15049,9880,36.235,100,100,0.010,0.700,5,7
tai20_5_0,TS,5,15072,15072.00,15105,9880,41.639,100,100,0.010,0.700,5,7
tai20_5_0,TS,6,14870,14870.00,14870,9880,44.919,100,100,0.010,0.700,5,7
tai20_5_0,TS,7,14862,14862.00,14980,9880,34.965,100,100,0.010,0.700,5,7
tai20_5_0,TS,8,14949,14949.00,15027,9880,38.107,100,100,0.010,0.700,5,7
tai20_5_0,TS,9,14898,14898.00,14901,9880,35.326,100,100,0.010,0.700,5,7
tai20_5_0,ILS,0,14724,14904.17,15346,2005,5313.866,100,100,0.010,0.700,5,7
tai20_5_0,ILS,1,14724,14914.63,15387,2004,4893.350,100,100,0.010,0.700,5,7
tai20_5_0,ILS,2,14724,14908.28,15582,2004,4563.046,100,100,0.010,0.700,5,7
tai20_5_0,ILS,3,14724,14908.80,15310,2004,4870.257,100,100,0.010,0.700,5,7
tai20_5_0,ILS,4,14724,14905.76,15327,2004,4663.098,100,100,0.010,0.700,5,7
tai20_5_0,ILS,5,14724,14910.92,15295,2004,4535.427,100,100,0.010,0.700,5,7
tai20_5_0,ILS,6,14724,14903.72,15405,2004,4910.827,100,100,0.010,0.700,5,7
tai20_5_0,ILS,7,14724,14902.39,15379,2005,4613.578,100,100,0.010,0.700,5,7
tai20_5_0,ILS,8,14724,14917.02,15468,2004,4700.742,100,100,0.010,0.700,5,7
tai20_5_0,ILS,9,14724,14908.05,15360,2004,4650.375,100,100,0.010,0.700,5,7
tai20_10_0,Greedy,0,21882,21882.00,21882,20,1.449,100,100,0.010,0.700,5,7
tai20_10_0,RandomSearch,0,21082,0.00,26617,10000,32.333,100,100,0.010,0.700,5,7
tai20_10_0,RandomSearch,1,21238,0.00,26610,10000,37.826,100,100,0.010,0.700,5,7
tai20_10_0,RandomSearch,2,21074,0.00,26498,10000,46.740,100,100,0.010,0.700,5,7
tai20_10_0,RandomSearch,3,21252,0.00,26436,10000,61.955,100,100,0.010,0.700,5,7
tai20_10_0,RandomSearch,4,21349,0.00,26507,10000,77.269,100,100,0.010,0.700,5,7
tai20_10_0,RandomSearch,5,21212,0.00,26577,10000,76.986,100,100,0.010,0.700,5,7
tai20_10_0,RandomSearch,6,21195,0.00,26542,10000,81.029,100,100,0.010,0.700,5,7
tai20_10_0,RandomSearch,7,21201,0.00,26645,10000,73.307,100,100,0.010,0.700,5,7
tai20_10_0,RandomSearch,8,21186,0.00,26949,10000,71.000,100,100,0.010,0.700,5,7
tai20_10_0,RandomSearch,9,21271,0.00,26569,10000,73.665,100,100,0.010,0.700,5,7
tai20_10_0,GA,0,20686,20686.00,20686,10000,71.475,100,100,0.010,0.700,5,7
tai20_10_0,GA,1,20842,20845.78,21220,10000,68.606,100,100,0.010,0.700,5,7
tai20_10_0,GA,2,20740,20740.97,20837,10000,68.026,100,100,0.010,0.700,5,7
tai20_10_0,GA,3,20534,20548.29,21429,10000,69.336,100,100,0.010,0.700,5,7
tai20_10_0,GA,4,20364,20381.99,22163,10000,69.512,100,100,0.010,0.700,5,7
tai20_10_0,GA,5,20605,20609.26,20948,10000,74.531,100,100,0.010,0.700,5,7
tai20_10_0,GA,6,20480,20481.83,20663,10000,73.054,100,100,0.010,0.700,5,7
tai20_10_0,GA,7,20582,20601.46,22484,10000,74.147,100,100,0.010,0.700,5,7
tai20_10_0,GA,8,20747,20753.81,21428,10000,69.638,100,100,0.010,0.700,5,7
tai20_10_0,GA,9,20772,20772.00,20772,10000,74.861,100,100,0.010,0.700,5,7
tai20_10_0,TS,0,19962,19962.00,20065,9880,68.837,100,100,0.010,0.700,5,7
tai20_10_0,TS,1,20118,20118.00,20118,9880,59.238,100,100,0.010,0.700,5,7
tai20_10_0,TS,2,20056,20056.00,20113,9880,65.862,100,100,0.010,0.700,5,7
tai20_10_0,TS,3,20117,20117.00,20164,9880,60.948,100,100,0.010,0.700,5,7
tai20_10_0,TS,4,20105,20105.00,20149,9880,58.790,100,100,0.010,0.700,5,7
tai20_10_0,TS,5,19899,19899.00,19903,9880,67.215,100,100,0.010,0.700,5,7
